language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.90  T=73.64 s (20.2 files/s, 7683.0 lines/s)"
C++,.\Engine\Dependencies\Vendor\glm\detail\func_geometric.inl,34,16,193
Ant,.\Engine\Dependencies\Mono\lib\mono\fsharp\FSharp.Build.xml,1,0,192
C++,.\Engine\Dependencies\Vendor\glm\detail\func_matrix_simd.inl,34,24,191
C++,.\Engine\Graphics\Source\BatchRenderer2D.cpp,82,52,189
C++,.\Engine\Math\Vector\Vector2.tpp,41,22,189
C/C++ Header,.\Engine\Dependencies\Vendor\glm\gtx\euler_angles.hpp,47,100,188
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\fterrdef.h,30,63,186
C/C++ Header,.\Engine\Dependencies\rapidjson\msinttypes\stdint.h,50,66,184
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\metadata\attrdefs.h,32,60,182
C/C++ Header,.\Engine\Dependencies\rapidjson\prettywriter.h,44,54,179
JSON,.\Party_Pantry\Config\SavedLevels\segMainMenuLevel.json,0,0,179
C/C++ Header,.\Engine\Dependencies\rapidjson\encodedstream.h,53,69,177
C++,.\Engine\Graphics\Source\GraphicsDebugging.cpp,88,58,173
HTML,.\Engine\Dependencies\GLEW\doc\install.html,24,32,172
C++,.\Engine\EditorStateManager\EditorStates\imguiTestState.cpp,36,40,172
C++,.\Engine\Dependencies\Vendor\glm\gtc\quaternion.inl,30,1,171
C/C++ Header,.\Engine\Dependencies\rapidjson\internal\stack.h,36,26,170
ASP,.\Engine\Dependencies\Mono\lib\xsp\test\1.1\handlers\monodoc.ashx,31,0,168
C++,.\Engine\Graphics\Source\FontRendering.cpp,60,45,168
CSS,.\Engine\Dependencies\GLEW\doc\glew.css,19,1,167
ASP.NET,.\Engine\Dependencies\Mono\lib\xsp\test\1.1\webcontrols\dbpage1.aspx,20,0,166
HTML,.\Engine\Dependencies\GLEW\doc\index.html,17,32,165
C++,.\Engine\ECS\Systems\controllerSystem.cpp,50,23,164
HTML,.\Engine\Dependencies\GLEW\doc\advanced.html,28,43,161
C/C++ Header,.\Engine\ECS\system.h,23,87,161
C#,.\Engine\Dependencies\Mono\lib\xsp\test\1.1\webservice\CompressExtension.cs,25,10,160
C/C++ Header,.\Engine\Dependencies\FreeType\include\dlg\dlg.h,36,76,158
C++,.\Engine\Dependencies\Vendor\glm\gtx\hash.inl,16,10,158
C++,.\Engine\Dependencies\Vendor\glm\gtx\intersect.inl,31,13,156
C++,.\Engine\Dependencies\Vendor\glm\gtx\matrix_operation.inl,19,1,156
C++,.\Engine\Serializer\SerializeManager.cpp,43,24,156
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\ftdebug.h,100,188,153
ASP.NET,.\Engine\Dependencies\Mono\lib\xsp\test\1.1\customcontrol\tabcontrol.aspx,15,9,153
C++,.\Engine\Dependencies\Vendor\glm\gtx\matrix_major_storage.inl,12,1,153
C++,.\Engine\Dependencies\Vendor\glm\gtc\reciprocal.inl,27,13,151
C++,.\Engine\Dependencies\Vendor\glm\gtc\ulp.inl,22,1,150
C++,.\Engine\Dependencies\Vendor\glm\gtx\rotate_vector.inl,20,18,149
ASP.NET,.\Engine\Dependencies\Mono\lib\xsp\test\2.0\menu\menu2.aspx,13,0,147
C++,.\Engine\ECS\Systems\ForceManager.cpp,28,37,147
C++,.\Engine\ECS\Systems\SerializedOfficialSystem.cpp,14,27,147
C++,.\Engine\EditorStateManager\EditorStates\PhysicTestState.cpp,58,128,146
C++,.\Engine\AssetManager\AssetManager.cpp,43,31,145
C++,.\Engine\Dependencies\Vendor\glm\detail\func_trigonometric.inl,38,14,145
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\metadata\appdomain.h,77,10,144
Python,.\Engine\Dependencies\Mono\lib\ironpython\Lib\iptest\file_util.py,33,26,144
C++,.\Engine\Dependencies\Vendor\glm\detail\func_packing.inl,43,2,144
C/C++ Header,.\Engine\Dependencies\Vendor\glm\simd\neon.h,9,2,144
C++,.\Engine\Graphics\Source\Shader.cpp,39,62,144
C++,.\Engine\Dependencies\Vendor\glm\detail\func_geometric_simd.inl,18,2,143
HTML,.\Engine\Dependencies\GLEW\doc\glxew.html,12,32,142
XML,.\Engine\Dependencies\Mono\etc\mono\2.0\web.config,5,7,142
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\_vectorize.hpp,20,0,142
Bourne Again Shell,.\Engine\Dependencies\Mono\bin\mono-test-install,18,18,141
Bourne Again Shell,.\Engine\Dependencies\Mono\bina\mono-test-install,18,18,141
C++,.\Engine\ECS\Systems\CollisionDetection.cpp,20,134,141
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\metadata\mono-debug.h,55,39,138
C/C++ Header,.\Engine\Dependencies\Mono\include\mono-2.0\mono\metadata\reflection.h,26,10,138
C++,.\Engine\Dependencies\Vendor\glm\gtc\constants.inl,28,1,138
C/C++ Header,.\Engine\Dependencies\Vendor\glm\gtx\io.hpp,40,23,138
C/C++ Header,.\Engine\Dependencies\Vendor\glm\ext\matrix_clip_space.hpp,49,336,137
C++,.\Engine\ECS\Systems\Physics\ImplicitGrid.cpp,15,20,137
C/C++ Header,.\Engine\Dependencies\rapidjson\allocators.h,51,98,135
C++,.\Engine\Editor\UI Layer\UIInspector.cpp,14,40,133
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_mat4x4.hpp,46,11,132
C++,.\Engine\Dependencies\Vendor\glm\ext\matrix_transform.inl,20,0,132
C/C++ Header,.\Engine\Mono\Mono.h,35,50,132
C/C++ Header,.\Engine\Dependencies\FreeType\include\freetype\internal\ftdrv.h,43,114,131
C++,.\Engine\Dependencies\Vendor\glm\gtx\integer.inl,30,24,131
C++,.\Engine\AI Pathfinding\AStarPathFinding.cpp,43,15,130
C++,.\Engine\Dependencies\Vendor\glm\ext\scalar_common.inl,21,1,130
C++,.\Engine\Debugging\PhysicsDebugging.cpp,14,22,129
Python,.\Engine\Dependencies\Mono\lib\mono\lldb\mono.py,21,25,128
C++,.\Engine\Dependencies\Vendor\glm\gtx\quaternion.inl,22,9,128
C++,.\Engine\Dependencies\Vendor\glm\gtx\vector_query.inl,25,1,128
C/C++ Header,.\Engine\Dependencies\Vendor\glm\detail\type_mat3x3.hpp,46,11,127
